SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,14_Laptime,35_Laptime,14_PaceDiff,35_PaceDiff,14_PaceDiffClear,35_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffClearTeammateMean,PaceDiffTeammateBetterMode
0,2025,2025210,20.0,91,Mercedes,73.129,73.082,-0.696,-0.743,-0.696,-0.743,73.97,-0.04700000000000004,35,-0.04700000000000004,35,-0.7195,-0.7195,14
0,2025,2025210,21.0,92,Mercedes,73.042,73.303,-0.733,-0.472,-0.733,-0.472,73.839,0.261,14,0.261,14,-0.6025,-0.6025,14
0,2025,2025210,22.0,93,Mercedes,73.054,73.113,-0.69,-0.631,-0.69,-0.631,73.846,0.05899999999999994,14,0.05899999999999994,14,-0.6605,-0.6605,14
0,2025,2025210,23.0,94,Mercedes,72.881,72.862,-1.287,-1.306,-1.287,-1.306,74.168,-0.019000000000000128,35,-0.019000000000000128,35,-1.2965,-1.2965,14
0,2025,2025210,24.0,95,Mercedes,74.991,74.984,-2.69,-2.697,-2.69,-2.697,77.681,-0.007000000000000117,35,-0.007000000000000117,35,-2.6935000000000002,-2.6935000000000002,14
0,2025,2025230,1.0,96,Mercedes,,,,,,,,,,,,,,14
0,2025,2025230,2.0,97,Mercedes,,,,,,,,,,,,,,14
0,2025,2025230,3.0,98,Mercedes,85.197,85.536,-0.724,-0.385,-0.724,-0.385,85.921,0.33899999999999997,14,0.33899999999999997,14,-0.5545,-0.5545,14
0,2025,2025230,4.0,99,Mercedes,85.011,85.634,-0.679,-0.056,-0.679,-0.056,85.69,0.623,14,0.623,14,-0.36750000000000005,-0.36750000000000005,14
0,2025,2025230,5.0,100,Mercedes,84.925,85.601,-0.664,0.012,-0.664,0.012,85.589,0.676,14,0.676,14,-0.326,-0.326,14
0,2025,2025230,6.0,101,Mercedes,84.856,85.574,-0.797,-0.079,-0.797,-0.079,85.659,0.7180000000000001,14,0.7180000000000001,14,-0.438,-0.438,14
0,2025,2025230,7.0,102,Mercedes,84.985,85.527,-0.767,-0.225,-0.907,-0.225,85.811,0.542,14,0.682,14,-0.496,-0.5660000000000001,14
0,2025,2025230,8.0,103,Mercedes,84.834,85.597,-0.986,-0.223,-0.986,-0.223,85.869,0.763,14,0.763,14,-0.6045,-0.6045,14
0,2025,2025230,9.0,104,Mercedes,84.929,85.685,-0.931,-0.175,-0.931,-0.175,85.929,0.756,14,0.756,14,-0.553,-0.553,14
0,2025,2025230,10.0,105,Mercedes,84.864,85.46,-1.131,-0.535,-1.131,-0.535,86.009,0.596,14,0.596,14,-0.833,-0.833,14
0,2025,2025230,11.0,106,Mercedes,85.045,85.741,-1.072,-0.376,-1.19,-0.376,86.336,0.6960000000000001,14,0.814,14,-0.724,-0.7829999999999999,14
0,2025,2025230,12.0,107,Mercedes,84.989,85.936,-1.228,-0.281,-1.228,-0.281,86.296,0.947,14,0.947,14,-0.7545,-0.7545,14
0,2025,2025230,13.0,108,Mercedes,84.961,85.111,-1.028,-0.878,-1.028,-0.878,86.073,0.15000000000000002,14,0.15000000000000002,14,-0.9530000000000001,-0.9530000000000001,14
0,2025,2025230,14.0,109,Mercedes,85.132,85.096,-0.669,-0.705,-0.955,-0.705,85.816,-0.03599999999999992,35,0.25,14,-0.687,-0.83,14
0,2025,2025230,15.0,110,Mercedes,84.732,85.075,-0.909,-0.566,-0.909,-0.566,85.735,0.3430000000000001,14,0.3430000000000001,14,-0.7375,-0.7375,14
0,2025,2025230,16.0,111,Mercedes,84.564,84.967,-0.999,-0.596,-0.999,-0.596,86.239,0.403,14,0.403,14,-0.7975,-0.7975,14
0,2025,2025230,17.0,112,Mercedes,84.669,84.845,-0.733,-0.557,-0.733,-0.557,85.495,0.17599999999999993,14,0.17599999999999993,14,-0.645,-0.645,14
0,2025,2025230,18.0,113,Mercedes,84.585,84.726,-0.769,-0.628,-0.769,-0.628,85.62,0.14100000000000001,14,0.14100000000000001,14,-0.6985,-0.6985,14
0,2025,2025230,19.0,114,Mercedes,85.823,84.464,0.263,-1.096,0.263,-1.096,85.56,-1.359,35,-1.359,35,-0.41650000000000004,-0.41650000000000004,14
