Number,Abbreviation,Laptime,LapNumber,Stint,PitOutTime,PitInTime,Compound,TrackStatus,TyreLife,Position,RaceID,SafetyCarEnter,SafetyCarLeave,VirtualSafetyCarEnter,VirtualSafetyCarLeave,LaptimeDiff,LaptimeNaN,LaptimeMovingAverage,LaptimeClear,LaptimeClearPace,Pace,PaceMarker,PaceClearMarker,PaceDiff,PaceDiffClear,Consistency,ConsistencySign,ConsistencyClear,CompoundColor,LaptimeOutlier,TheOnlyValueInGroup,LaptimeMistake,MistakesLosses,PitLap,StintMeanLaptime,StintMeanConsistency,StintVerticalLine,StintLabel,LapsLeading,LaptimeSeriesActual,FullName,FirstName,LastName,Color,Overtakes
16,LEC,-,2.0,2.0,,,M,1,2,4,2021100,0,0,0,0,-,1,,-,-,90.881,,,-,-,-,,-,#F0E628,1,0,0,,0,90.881,0.117,0,0,0,1,Charles Leclerc,Charles,Leclerc,#CC1400,0.0
16,LEC,91.618,3.0,2.0,,,M,1,3,4,2021100,0,0,0,0,-,0,,91.618,-,90.881,92.663,92.663,-1.045,-1.045,-,,-,#F0E628,0,0,0,,0,90.881,0.117,0,0,0,1,Charles Leclerc,Charles,Leclerc,#CC1400,0.0
16,LEC,91.031,4.0,2.0,,,M,1,4,4,2021100,0,0,0,0,0.587,0,91.324,91.031,91.324,90.881,92.536,92.499,-1.468,-1.468,0.293,-0.293,0.293,#F0E628,0,0,0,,0,90.881,0.117,0,0,0,1,Charles Leclerc,Charles,Leclerc,#CC1400,0.0
16,LEC,91.221,5.0,2.0,,,M,1,5,4,2021100,0,0,0,0,0.190,0,91.126,91.077,91.054,90.881,93.492,92.535,-1.314,-1.458,0.167,0.167,-,#F0E628,1,0,1,0.167,0,90.881,0.117,0,0,0,1,Charles Leclerc,Charles,Leclerc,#CC1400,0.0
16,LEC,91.123,6.0,2.0,,,M,1,6,4,2021100,0,0,0,0,0.098,0,91.172,91.123,91.1,90.881,92.571,92.541,-1.418,-1.418,0.023,0.023,0.023,#F0E628,0,0,0,,0,90.881,0.117,0,0,0,1,Charles Leclerc,Charles,Leclerc,#CC1400,0.0
16,LEC,91.105,7.0,2.0,,,M,1,7,4,2021100,0,0,0,0,0.018,0,91.114,91.105,91.114,90.881,92.542,92.524,-1.419,-1.419,0.009,-0.009,0.009,#F0E628,0,0,0,,0,90.881,0.117,0,0,0,1,Charles Leclerc,Charles,Leclerc,#CC1400,0.0
16,LEC,91.157,8.0,2.0,,,M,1,8,4,2021100,0,0,0,0,0.052,0,91.131,91.157,91.131,90.881,92.482,92.482,-1.325,-1.325,0.026,0.026,0.026,#F0E628,0,0,0,,0,90.881,0.117,0,0,0,1,Charles Leclerc,Charles,Leclerc,#CC1400,0.0
16,LEC,90.756,9.0,2.0,,,M,1,9,4,2021100,0,0,0,0,0.401,0,90.956,90.756,90.956,90.881,92.665,92.466,-1.710,-1.710,0.201,-0.201,0.201,#F0E628,0,0,0,,0,90.881,0.117,0,0,0,1,Charles Leclerc,Charles,Leclerc,#CC1400,0.0
16,LEC,90.921,10.0,2.0,,,M,1,10,4,2021100,0,0,0,0,0.165,0,90.839,90.8,90.778,90.881,92.389,92.383,-1.462,-1.582,0.143,0.143,-,#F0E628,1,0,1,0.1428,0,90.881,0.117,0,1,0,1,Charles Leclerc,Charles,Leclerc,#CC1400,0.0
16,LEC,90.845,11.0,2.0,,,M,1,11,4,2021100,0,0,0,0,0.076,0,90.883,90.845,90.823,90.881,92.268,92.213,-1.368,-1.368,0.022,0.022,0.022,#F0E628,0,0,0,,0,90.881,0.117,0,0,0,1,Charles Leclerc,Charles,Leclerc,#CC1400,0.0
16,LEC,90.678,12.0,2.0,,,M,1,12,4,2021100,0,0,0,0,0.167,0,90.762,90.678,90.762,90.881,92.233,92.146,-1.468,-1.468,0.084,-0.084,0.084,#F0E628,0,0,0,,0,90.881,0.117,0,0,0,1,Charles Leclerc,Charles,Leclerc,#CC1400,0.0
16,LEC,90.814,13.0,2.0,,,M,1,13,4,2021100,0,0,0,0,0.136,0,90.746,90.814,90.746,90.881,92.147,92.107,-1.293,-1.293,0.068,0.068,0.068,#F0E628,0,0,0,,0,90.881,0.117,0,0,0,1,Charles Leclerc,Charles,Leclerc,#CC1400,0.0
16,LEC,90.544,14.0,2.0,,,M,1,14,4,2021100,0,0,0,0,0.270,0,90.679,90.544,90.679,90.881,92.061,92.033,-1.489,-1.489,0.135,-0.135,0.135,#F0E628,0,0,0,,0,90.881,0.117,0,0,0,1,Charles Leclerc,Charles,Leclerc,#CC1400,0.0
16,LEC,90.555,15.0,2.0,,,M,1,15,4,2021100,0,0,0,0,0.011,0,90.55,90.555,90.55,90.881,92.067,92.016,-1.461,-1.461,0.006,0.006,0.006,#F0E628,0,0,0,,0,90.881,0.117,0,0,0,1,Charles Leclerc,Charles,Leclerc,#CC1400,0.0
16,LEC,90.163,16.0,2.0,,,M,1,16,4,2021100,0,0,0,0,0.392,0,90.359,90.163,90.359,90.881,91.921,91.888,-1.725,-1.725,0.196,-0.196,0.196,#F0E628,0,0,0,,0,90.881,0.117,0,0,0,1,Charles Leclerc,Charles,Leclerc,#CC1400,0.0
16,LEC,90.686,17.0,2.0,,,M,1,17,4,2021100,0,0,0,0,0.523,0,90.424,90.686,90.424,90.881,91.795,91.795,-1.109,-1.109,0.262,0.262,0.262,#F0E628,0,0,0,,0,90.881,0.117,0,0,0,1,Charles Leclerc,Charles,Leclerc,#CC1400,0.0
4,NOR,-,1.0,1.0,,,M,12,1,6,2021100,0,0,0,0,-,1,,-,-,91.436,,,-,-,-,,-,#F0E628,1,1,0,,0,91.436,0.150,0,0,0,1,Lando Norris,Lando,Norris,#FF9800,
4,NOR,-,2.0,1.0,,,M,1,2,6,2021100,0,0,0,0,-,1,,-,-,91.436,,,-,-,-,,-,#F0E628,1,0,0,,0,91.436,0.150,0,0,0,1,Lando Norris,Lando,Norris,#FF9800,0.0
4,NOR,92.487,3.0,1.0,,,M,1,3,6,2021100,0,0,0,0,-,0,,92.487,-,91.436,92.663,92.663,-0.176,-0.176,-,,-,#F0E628,0,0,0,,0,91.436,0.150,0,0,0,1,Lando Norris,Lando,Norris,#FF9800,0.0
4,NOR,92.463,4.0,1.0,,,M,1,4,6,2021100,0,0,0,0,0.024,0,92.475,92.463,92.475,91.436,92.536,92.499,-0.036,-0.036,0.012,-0.012,0.012,#F0E628,0,0,0,,0,91.436,0.150,0,0,0,1,Lando Norris,Lando,Norris,#FF9800,0.0
4,NOR,92.985,5.0,1.0,,,M,1,5,6,2021100,0,0,0,0,0.522,0,92.724,92.213,92.338,91.436,93.492,92.535,0.450,-0.322,0.647,0.647,-,#F0E628,1,0,1,0.647,0,91.436,0.150,0,0,0,1,Lando Norris,Lando,Norris,#FF9800,0.0
4,NOR,91.963,6.0,1.0,,,M,1,6,5,2021100,0,0,0,0,1.022,0,92.474,91.963,92.088,91.436,92.571,92.541,-0.578,-0.578,0.125,-0.125,0.125,#F0E628,0,0,0,,0,91.436,0.150,0,0,0,1,Lando Norris,Lando,Norris,#FF9800,1.0
4,NOR,91.445,7.0,1.0,,,M,1,7,5,2021100,0,0,0,0,0.518,0,91.704,91.445,91.704,91.436,92.542,92.524,-1.079,-1.079,0.259,-0.259,0.259,#F0E628,0,0,0,,0,91.436,0.150,0,0,0,1,Lando Norris,Lando,Norris,#FF9800,0.0
4,NOR,91.057,8.0,1.0,,,M,1,8,5,2021100,0,0,0,0,0.388,0,91.251,91.057,91.251,91.436,92.482,92.482,-1.425,-1.425,0.194,-0.194,0.194,#F0E628,0,0,0,,0,91.436,0.150,0,0,0,1,Lando Norris,Lando,Norris,#FF9800,0.0
4,NOR,91.196,9.0,1.0,,,M,1,9,5,2021100,0,0,0,0,0.139,0,91.126,91.196,91.126,91.436,92.665,92.466,-1.270,-1.270,0.070,0.07,0.070,#F0E628,0,0,0,,0,91.436,0.150,0,0,0,1,Lando Norris,Lando,Norris,#FF9800,0.0
4,NOR,91.081,10.0,1.0,,,M,1,10,5,2021100,0,0,0,0,0.115,0,91.138,91.081,91.138,91.436,92.389,92.383,-1.302,-1.302,0.057,-0.057,0.057,#F0E628,0,0,0,,0,91.436,0.150,0,1,0,1,Lando Norris,Lando,Norris,#FF9800,0.0
4,NOR,91.081,11.0,1.0,,,M,1,11,5,2021100,0,0,0,0,0.000,0,91.081,91.081,91.081,91.436,92.268,92.213,-1.132,-1.132,0.000,0.0,0.000,#F0E628,0,0,0,,0,91.436,0.150,0,0,0,1,Lando Norris,Lando,Norris,#FF9800,0.0
4,NOR,91.401,12.0,1.0,,,M,1,12,5,2021100,0,0,0,0,0.320,0,91.241,91.042,91.062,91.436,92.233,92.146,-0.745,-1.103,0.339,0.339,-,#F0E628,1,0,1,0.3392,0,91.436,0.150,0,0,0,1,Lando Norris,Lando,Norris,#FF9800,0.0
4,NOR,91.004,13.0,1.0,,,M,1,13,5,2021100,0,0,0,0,0.397,0,91.202,91.004,91.023,91.436,92.147,92.107,-1.103,-1.103,0.019,-0.019,0.019,#F0E628,0,0,0,,0,91.436,0.150,0,0,0,1,Lando Norris,Lando,Norris,#FF9800,0.0
4,NOR,90.995,14.0,1.0,,,M,1,14,5,2021100,0,0,0,0,0.009,0,91.0,90.995,91.0,91.436,92.061,92.033,-1.038,-1.038,0.005,-0.005,0.005,#F0E628,0,0,0,,0,91.436,0.150,0,0,0,1,Lando Norris,Lando,Norris,#FF9800,0.0
