SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,14_Laptime,35_Laptime,14_PaceDiff,35_PaceDiff,14_PaceDiffClear,35_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffClearTeammateMean,PaceDiffTeammateBetterMode
2,2025,2025041,25.0,210,Mercedes,98.076,99.729,-0.757,0.896,-0.918,0.085,98.959,1.653,14,1.0030000000000001,14,0.0695,-0.41650000000000004,14
2,2025,2025041,26.0,211,Mercedes,98.045,99.193,-0.853,0.295,-0.853,0.295,98.898,1.148,14,1.148,14,-0.279,-0.279,14
2,2025,2025041,27.0,212,Mercedes,97.929,,-0.856,,-0.856,,98.833,,,,,-0.856,-0.856,14
2,2025,2025041,28.0,213,Mercedes,97.996,,-0.625,,-0.625,,98.771,,,,,-0.625,-0.625,14
2,2025,2025041,29.0,214,Mercedes,97.777,96.69,-0.393,-1.48,-0.393,-1.48,98.235,-1.087,35,-1.087,35,-0.9365,-0.9365,14
2,2025,2025041,30.0,215,Mercedes,97.653,96.69,-0.468,-1.431,-0.468,-1.431,98.237,-0.9630000000000001,35,-0.9630000000000001,35,-0.9495,-0.9495,14
2,2025,2025041,31.0,216,Mercedes,98.084,97.531,-0.431,-0.984,-0.431,-0.984,98.515,-0.5529999999999999,35,-0.5529999999999999,35,-0.7075,-0.7075,14
2,2025,2025041,32.0,217,Mercedes,,,,,,,,,,,,,,14
2,2025,2025041,33.0,218,Mercedes,,,,,,,,,,,,,,14
2,2025,2025041,34.0,219,Mercedes,,,,,,,,,,,,,,14
2,2025,2025041,35.0,220,Mercedes,,,,,,,,,,,,,,14
2,2025,2025041,36.0,221,Mercedes,,,,,,,,,,,,,,14
2,2025,2025041,37.0,222,Mercedes,,97.717,,0.091,,0.091,97.626,,,,,0.091,0.091,14
2,2025,2025041,38.0,223,Mercedes,96.207,96.985,-1.005,-0.227,-1.005,-0.227,97.401,0.7779999999999999,14,0.7779999999999999,14,-0.616,-0.616,14
2,2025,2025041,39.0,224,Mercedes,96.398,97.577,-0.994,0.185,-0.994,-0.263,97.512,1.179,14,0.731,14,-0.40449999999999997,-0.6285000000000001,14
2,2025,2025041,40.0,225,Mercedes,96.471,97.273,-0.962,-0.16,-0.962,-0.16,97.465,0.8019999999999999,14,0.8019999999999999,14,-0.5609999999999999,-0.5609999999999999,14
2,2025,2025041,41.0,226,Mercedes,96.391,97.584,-1.084,0.109,-1.084,0.109,97.562,1.193,14,1.193,14,-0.48750000000000004,-0.48750000000000004,14
