SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,7_Laptime,9_Laptime,26_Laptime,29_Laptime,7_PaceDiff,9_PaceDiff,26_PaceDiff,29_PaceDiff,7_PaceDiffClear,9_PaceDiffClear,26_PaceDiffClear,29_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
2,2023,2023031,54.0,161,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
2,2023,2023031,55.0,162,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
2,2023,2023031,56.0,163,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
2,2023,2023031,57.0,164,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
2,2023,2023031,58.0,165,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
2,2023,2023040,1.0,166,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
2,2023,2023040,2.0,167,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
2,2023,2023040,3.0,168,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
2,2023,2023040,4.0,169,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
2,2023,2023040,5.0,170,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
2,2023,2023040,6.0,171,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
2,2023,2023040,7.0,172,Alpha Tauri,,,107.71,,,,1.523,,,,1.523,,,-,-,-,,-,,-,
2,2023,2023040,8.0,173,Alpha Tauri,,,106.717,,,,1.159,,,,1.159,,,-,-,-,,-,,-,
2,2023,2023040,9.0,174,Alpha Tauri,,,106.292,,,,0.86,,,,0.86,,,-,-,-,,-,,-,
